key,code,moment,duration-start,duration-end,amount,type,email-contact,link,draft-mode,key:project,key:sponsor
sponsorship-18,SPO-018,2013/06/24 14:40,2013/06/27 12:00,2013/08/27 12:00,EUR 999999999.99,FINANCIAL,albcarsic@alum.us.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-19,SPO-019,2013/06/24 14:40,2013/06/27 12:00,2013/08/27 12:00,EUR 0.02,FINANCIAL,albcarsic@alum.us.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-20,SPO-020,2013/06/24 14:40,2013/06/27 12:00,2013/08/27 12:00,EUR 1000000000.00,FINANCIAL,albcarsic@alum.us.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-21,SPO-021,2013/06/24 14:40,2013/06/27 12:00,2013/08/27 12:00,EUR 55555.55,FINANCIAL,albcarsic@alum.us.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-22,SPO-022,2013/06/24 14:40,2013/06/27 12:00,2013/08/27 12:00,EUR 1000.00,IN_KIND,albcarsic@alum.us.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-23,SPO-023,2013/06/24 14:40,2013/06/27 12:00,2013/08/27 12:00,EUR 1000.00,FINANCIAL,acme@lorem-ipsum.org,http://www.link.com,true,project-01,sponsor-01
sponsorship-24,SPO-024,2013/06/24 14:40,2013/06/27 12:00,2013/08/27 12:00,EUR 1000.00,FINANCIAL,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolorrr.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-25,SPO-025,2013/06/24 14:40,2013/06/27 12:00,2013/08/27 12:00,EUR 1000.00,FINANCIAL,null,http://www.link.com,true,project-01,sponsor-01
sponsorship-26,SPO-026,2013/06/24 14:40,2013/06/27 12:00,2013/08/27 12:00,EUR 1000.00,FINANCIAL,Eメール@alum.us.es,http://www.link.com,true,project-01,sponsor-01
sponsorship-27,SPO-027,2013/06/24 14:40,2013/06/27 12:00,2013/08/27 12:00,EUR 1000.00,FINANCIAL,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolorrr.com,http://www.link.com,true,project-01,sponsor-01
sponsorship-28,SPO-028,2013/06/24 14:40,2013/06/27 12:00,2013/08/27 12:00,EUR 1000.00,FINANCIAL,albcarsic@alum.us.es,null,true,project-01,sponsor-01
sponsorship-29,SPO-029,2013/06/24 14:40,2013/06/27 12:00,2013/08/27 12:00,EUR 1000.00,FINANCIAL,albcarsic@alum.us.es,http://www.ベティス.com,true,project-01,sponsor-02
sponsorship-30,SPO-030,2013/06/24 14:40,2013/06/27 12:00,2013/08/27 12:00,EUR 1000.00,FINANCIAL,albcarsic@alum.us.es,http://www.lorem-ipsum.org/dolor/sit/amet/consectetur/adipiscing/elit/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/es,true,project-01,sponsor-02
sponsorship-31,SPO-031,2013/06/24 14:40,2013/06/27 12:00,2013/08/27 12:00,EUR 1000.00,FINANCIAL,albcarsic@alum.us.es,http://www.lorem-ipsum.org/dolor/sit/amet/consectetur/adipiscing/elit/sed/do/eiusmod/tempor/incididunt/ut/labore/et/dolore/magna/aliqua/Ut/enim/ad/minim/veniam/quis/nostrud/exercitation/ullamco/laboris/nisi/ut/aliquip/ex/ea/commodo/consequat/duis/aute/com,true,project-02,sponsor-02
sponsorship-32,SPO-032,2013/06/24 14:40,2013/06/27 12:00,2013/08/27 12:00,EUR 750.00,FINANCIAL,albcarsic@alum.us.es,http://www.link.com,false,project-01,sponsor-01
